raw_id	env_package	attribute_name	harmonized_name	value
16766015		growth facility		glasshouse
16766016		growth facility		glasshouse
16766017		growth facility		glasshouse
16766018		growth facility		glasshouse
16766019		growth facility		glasshouse
16766020		growth facility		glasshouse
16766021		growth facility		glasshouse
16766022		growth facility		glasshouse
16766023		growth facility		glasshouse
16766024		growth facility		glasshouse
16766025		growth facility		glasshouse
16766026		growth facility		glasshouse
16766027		growth facility		glasshouse
16766028		growth facility		glasshouse
16766029		growth facility		glasshouse
16766030		growth facility		glasshouse
16766031		growth facility		glasshouse
16766032		growth facility		glasshouse
16766033		growth facility		glasshouse
16766034		growth facility		glasshouse
16766035		growth facility		glasshouse
16766036		growth facility		glasshouse
16766037		growth facility		glasshouse
16766038		growth facility		glasshouse
16766039		growth facility		glasshouse
16766040		growth facility		glasshouse
16766041		growth facility		glasshouse
16766042		growth facility		glasshouse
16766043		growth facility		glasshouse
16766044		growth facility		glasshouse
16766045		growth facility		glasshouse
16766046		growth facility		glasshouse
16766047		growth facility		glasshouse
16766048		growth facility		glasshouse
16766049		growth facility		glasshouse
16766050		growth facility		glasshouse
16766051		growth facility		glasshouse
16766052		growth facility		glasshouse
16766053		growth facility		glasshouse
16766054		growth facility		glasshouse
16766055		growth facility		glasshouse
16766056		growth facility		glasshouse
16766057		growth facility		glasshouse
16766058		growth facility		glasshouse
16766059		growth facility		glasshouse
16766060		growth facility		glasshouse
16766061		growth facility		glasshouse
16766062		growth facility		glasshouse
16766063		growth facility		glasshouse
16766064		growth facility		glasshouse
16766065		growth facility		glasshouse
16766066		growth facility		glasshouse
16766067		growth facility		glasshouse
16766068		growth facility		glasshouse
16766069		growth facility		glasshouse
16766070		growth facility		glasshouse
16766071		growth facility		glasshouse
16766072		growth facility		glasshouse
16766073		growth facility		glasshouse
16766074		growth facility		glasshouse
16766075		growth facility		glasshouse
16766076		growth facility		glasshouse
16766077		growth facility		glasshouse
16766078		growth facility		glasshouse
16766079		growth facility		glasshouse
16766080		growth facility		glasshouse
16766081		growth facility		glasshouse
16766082		growth facility		glasshouse
16766083		growth facility		glasshouse
16766084		growth facility		glasshouse
16766085		growth facility		glasshouse
16766086		growth facility		glasshouse
16766087		growth facility		glasshouse
16766088		growth facility		glasshouse
16766089		growth facility		glasshouse
16766090		growth facility		glasshouse
16766091		growth facility		glasshouse
16766092		growth facility		glasshouse
16766093		growth facility		glasshouse
16766094		growth facility		glasshouse
16766095		growth facility		glasshouse
16766096		growth facility		glasshouse
16766097		growth facility		glasshouse
16766098		growth facility		glasshouse
